Tax_type,State,Filing_Status,Bottom of Bracket,Top of bracket,Bracket_min,Bracket_max,Tax_rate,Year
Federal,All,Single,,,0.00,11600.00,0.1000,2024
Federal,All,Single,,,11601.00,47150.00,0.1200,2024
Federal,All,Single,,,47151.00,100525.00,0.2200,2024
Federal,All,Single,,,100526.00,191950.00,0.2400,2024
Federal,All,Single,,,191951.00,243725.00,0.3200,2024
Federal,All,Single,,,243726.00,609350.00,0.3500,2024
Federal,All,Single,,,609351.00,99999999999.00,0.3700,2024
State,Alabama,Single,,,0.00,500.00,0.0200,2024
State,Alabama,Single,,,500.01,3000.00,0.0400,2024
State,Alabama,Single,,,3000.01,99999999999.00,0.0500,2024
State,Arizona,Single,,,0.00,99999999999.00,0.0250,2024
State,Arkansas,Single,,,0.00,5100.00,0.0000,2024
State,Arkansas,Single,,,5100.01,10300.00,0.0200,2024
State,Arkansas,Single,,,10300.01,14700.00,0.0300,2024
State,Arkansas,Single,,,14700.01,24300.00,0.0340,2024
State,Arkansas,Single,,,24300.01,99999999999.00,0.0470,2024
State,California,Single,,,0.00,10412.00,0.0100,2024
State,California,Single,,,10413.00,24684.00,0.0200,2024
State,California,Single,,,24685.00,38959.00,0.0400,2024
State,California,Single,,,38960.00,54081.00,0.0600,2024
State,California,Single,,,54082.00,68350.00,0.0800,2024
State,California,Single,,,68351.00,349137.00,0.0930,2024
State,California,Single,,,349138.00,418961.00,0.1030,2024
State,California,Single,,,418962.00,698271.00,0.1130,2024
State,California,Single,,,698272.00,99999999999.00,0.1230,2024
State,Colorado,Single,,,0.00,99999999999.00,0.0425,2024
State,Connecticut,Single,,,0.00,10000.00,0.0200,2024
State,Connecticut,Single,,,10000.01,50000.00,0.0450,2024
State,Connecticut,Single,,,50000.01,100000.00,0.0550,2024
State,Connecticut,Single,,,100000.01,200000.00,0.0600,2024
State,Connecticut,Single,,,200000.01,250000.00,0.0650,2024
State,Connecticut,Single,,,250000.01,500000.00,0.0690,2024
State,Connecticut,Single,,,500000.01,99999999999.00,0.0699,2024
State,Delaware,Single,,,0.00,2000.00,0.0000,2024
State,Delaware,Single,,,2000.01,5000.00,0.0220,2024
State,Delaware,Single,,,5000.01,10000.00,0.0390,2024
State,Delaware,Single,,,10000.01,20000.00,0.0480,2024
State,Delaware,Single,,,20000.01,25000.00,0.0520,2024
State,Delaware,Single,,,25000.01,60000.00,0.0550,2024
State,Delaware,Single,,,60000.01,99999999999.00,0.0660,2024
State,Georgia,Single,,,0.00,99999999999.00,0.0539,2024
State,Hawaii,Single,,,0.00,2400.00,0.0140,2024
State,Hawaii,Single,,,2400.01,4800.00,0.0320,2024
State,Hawaii,Single,,,4800.01,9600.00,0.0550,2024
State,Hawaii,Single,,,9600.01,14400.00,0.0640,2024
State,Hawaii,Single,,,14400.01,19200.00,0.0680,2024
State,Hawaii,Single,,,19200.01,24000.00,0.0720,2024
State,Hawaii,Single,,,24000.01,36000.00,0.0760,2024
State,Hawaii,Single,,,36000.01,48000.00,0.0790,2024
State,Hawaii,Single,,,48000.01,150000.00,0.0825,2024
State,Hawaii,Single,,,150000.01,175000.00,0.0900,2024
State,Hawaii,Single,,,175000.01,200000.00,0.1000,2024
State,Hawaii,Single,,,200000.01,99999999999.00,0.1100,2024
State,Idaho,Single,,,0.00,5000.00,0.0000,2024
State,Idaho,Single,,,5000.01,99999999999.00,0.0570,2024
State,Illinois,Single,,,0.00,99999999999.00,0.0495,2024
State,Indiana,Single,,,0.00,99999999999.00,0.0305,2024
State,Iowa,Single,,,0.00,6210.00,0.0440,2024
State,Iowa,Single,,,6210.01,31050.00,0.0482,2024
State,Iowa,Single,,,31050.01,99999999999.00,0.0570,2024
State,Kansas,Single,,,0.00,15000.00,0.0310,2024
State,Kansas,Single,,,15000.01,30000.00,0.0525,2024
State,Kansas,Single,,,30000.01,99999999999.00,0.0570,2024
State,Kentucky,Single,,,0.00,99999999999.00,0.0400,2024
State,Louisiana,Single,,,0.00,12500.00,0.0185,2024
State,Louisiana,Single,,,12500.01,50000.00,0.0350,2024
State,Louisiana,Single,,,50000.01,99999999999.00,0.0425,2024
State,Maine,Single,,,0.00,26050.00,0.0580,2024
State,Maine,Single,,,26050.01,61599.00,0.0675,2024
State,Maine,Single,,,61600.00,99999999999.00,0.0715,2024
State,Maryland,Single,,,0.00,1000.00,0.0200,2024
State,Maryland,Single,,,1000.01,2000.00,0.0300,2024
State,Maryland,Single,,,2000.01,3000.00,0.0400,2024
State,Maryland,Single,,,3000.01,100000.00,0.0475,2024
State,Maryland,Single,,,100000.01,125000.00,0.0500,2024
State,Maryland,Single,,,125000.01,150000.00,0.0525,2024
State,Maryland,Single,,,150000.01,250000.00,0.0550,2024
State,Maryland,Single,,,250000.01,99999999999.00,0.0575,2024
State,Massachusetts,Single,,,0.00,1000000.00,0.0500,2024
State,Massachusetts,Single,,,1000000.01,99999999999.00,0.0900,2024
State,Michigan,Single,,,0.00,99999999999.00,0.0425,2024
State,Minnesota,Single,,,0.00,31690.00,0.0535,2024
State,Minnesota,Single,,,31690.01,104090.00,0.0680,2024
State,Minnesota,Single,,,104090.01,193240.00,0.0785,2024
State,Minnesota,Single,,,193240.01,99999999999.00,0.0985,2024
State,Mississippi,Single,,,0.00,99999999999.00,0.0470,2024
State,Missouri,Single,,,0.00,1207.00,0.0000,2024
State,Missouri,Single,,,1207.01,2414.00,0.0200,2024
State,Missouri,Single,,,2414.01,3621.00,0.0250,2024
State,Missouri,Single,,,3621.01,4828.00,0.0300,2024
State,Missouri,Single,,,4828.01,6035.00,0.0350,2024
State,Missouri,Single,,,6035.01,7242.00,0.0400,2024
State,Missouri,Single,,,7242.01,8449.00,0.0450,2024
State,Missouri,Single,,,8449.01,99999999999.00,0.0495,2024
State,Montana,Single,,,0.00,3600.00,0.0100,2024
State,Montana,Single,,,3600.01,6300.00,0.0200,2024
State,Montana,Single,,,6300.01,9700.00,0.0300,2024
State,Montana,Single,,,9700.01,13000.00,0.0400,2024
State,Montana,Single,,,13000.01,16800.00,0.0500,2024
State,Montana,Single,,,16800.01,21600.00,0.0600,2024
State,Montana,Single,,,21600.01,99999999999.00,0.0675,2024
State,Nebraska,Single,,,0.00,2999.00,0.0246,2024
State,Nebraska,Single,,,3000.00,17999.00,0.0351,2024
State,Nebraska,Single,,,18000.00,28999.00,0.0501,2024
State,Nebraska,Single,,,29000.00,99999999999.00,0.0520,2024
State,New Jersey,Single,,,0.00,20000.00,0.0140,2024
State,New Jersey,Single,,,20000.01,35000.00,0.0175,2024
State,New Jersey,Single,,,35000.01,40000.00,0.0350,2024
State,New Jersey,Single,,,40000.01,75000.00,0.0553,2024
State,New Jersey,Single,,,75000.01,500000.00,0.0637,2024
State,New Jersey,Single,,,500000.01,1000000.00,0.0897,2024
State,New Jersey,Single,,,1000000.01,99999999999.00,0.1075,2024
State,New Mexico,Single,,,0.00,5500.00,0.0170,2024
State,New Mexico,Single,,,5500.01,11000.00,0.0320,2024
State,New Mexico,Single,,,11000.01,16000.00,0.0470,2024
State,New Mexico,Single,,,16000.01,210000.00,0.0490,2024
State,New Mexico,Single,,,210000.01,99999999999.00,0.0590,2024
State,New York State,Single,,,0.00,8500.00,0.0400,2024
State,New York State,Single,,,8500.01,11700.00,0.0450,2024
State,New York State,Single,,,11700.01,13900.00,0.0525,2024
State,New York State,Single,,,13900.01,80650.00,0.0550,2024
State,New York State,Single,,,80650.01,215400.00,0.0600,2024
State,New York State,Single,,,215400.01,1077550.00,0.0685,2024
State,New York State,Single,,,1077550.01,5000000.00,0.0965,2024
State,New York State,Single,,,5000000.01,25000000.00,0.1030,2024
State,New York State,Single,,,25000000.01,99999999999.00,0.1090,2024
State,North Carolina,Single,,,0.00,99999999999.00,0.0450,2024
State,North Dakota,Single,,,0.00,41775.00,0.0110,2024
State,North Dakota,Single,,,41775.01,101050.00,0.0204,2024
State,North Dakota,Single,,,101050.01,210852.00,0.0227,2024
State,North Dakota,Single,,,210852.01,99999999999.00,0.0264,2024
State,Ohio,Single,,,0.00,26050.00,0.0000,2024
State,Ohio,Single,,,26051.00,100000.00,0.0275,2024
State,Ohio,Single,,,100000.01,115300.00,0.0368,2024
State,Ohio,Single,,,115300.01,99999999999.00,0.0375,2024
State,Oklahoma,Single,,,0.00,26050.00,0.0000,2024
State,Oklahoma,Single,,,26051.00,100000.00,0.0275,2024
State,Oklahoma,Single,,,100001.00,99999999999.00,0.0350,2024
State,Oregon,Single,,,0.00,3750.00,0.0475,2024
State,Oregon,Single,,,3751.00,9450.00,0.0675,2024
State,Oregon,Single,,,9451.00,125000.00,0.0875,2024
State,Oregon,Single,,,125001.00,99999999999.00,0.0990,2024
State,Pennsylvania,Single,,,0.00,99999999999.00,0.0307,2024
State,Rhode Island,Single,,,0.00,73450.00,0.0375,2024
State,Rhode Island,Single,,,73450.01,166950.00,0.0475,2024
State,Rhode Island,Single,,,166950.01,99999999999.00,0.0599,2024
State,South Carolina,Single,,,0.00,3460.00,0.0000,2024
State,South Carolina,Single,,,3460.01,17330.00,0.0300,2024
State,South Carolina,Single,,,17330.01,99999999999.00,0.0640,2024
State,Utah,Single,,,0.00,99999999999.00,0.0455,2024
State,Vermont,Single,,,0.00,45400.00,0.0335,2024
State,Vermont,Single,,,45400.01,102200.00,0.0660,2024
State,Vermont,Single,,,102200.01,213150.00,0.0760,2024
State,Vermont,Single,,,213150.01,99999999999.00,0.0875,2024
State,Virginia,Single,,,0.00,3000.00,0.0200,2024
State,Virginia,Single,,,3001.00,5000.00,0.0300,2024
State,Virginia,Single,,,5001.00,17000.00,0.0500,2024
State,Virginia,Single,,,17001.00,99999999999.00,0.0575,2024
State,West Virginia,Single,,,0.00,10000.00,0.0236,2024
State,West Virginia,Single,,,10000.01,25000.00,0.0315,2024
State,West Virginia,Single,,,25000.01,40000.00,0.0354,2024
State,West Virginia,Single,,,40000.01,60000.00,0.0472,2024
State,West Virginia,Single,,,60000.01,99999999999.00,0.0512,2024
State,Wisconsin,Single,,,0.00,13810.00,0.0354,2024
State,Wisconsin,Single,,,13810.01,27630.00,0.0465,2024
State,Wisconsin,Single,,,27630.01,304170.00,0.0530,2024
State,Wisconsin,Single,,,304170.01,99999999999.00,0.0765,2024
State,Alaska,Single,,,0.00,99999999999.00,0.0000,2024
State,Florida,Single,,,0.00,99999999999.00,0.0000,2024
State,Nevada,Single,,,0.00,99999999999.00,0.0000,2024
State,South Dakota,Single,,,0.00,99999999999.00,0.0000,2024
State,Tennessee,Single,,,0.00,99999999999.00,0.0000,2024
State,Texas,Single,,,0.00,99999999999.00,0.0000,2024
State,Wyoming,Single,,,0.00,99999999999.00,0.0000,2024
State,New Hampshire,Single,,,0.00,99999999999.00,0.0000,2024
State,Washington,Single,,,0.00,99999999999.00,0.0000,2024
